# Israeli stand-up comedians catalog (source lines: "Name — [meta…]")
# Parsed by scripts/buildStandupPhrases.mjs

עידו קציר (Ido Katzir) — [שם במה בלבד במבצעי אתרים — מסווג כסטנדאפ לפי רשימת הבית]

אַבּוּ טַבְּלֶה / יוני שרון (Abu Tabla / Yoni Sharon) — [אַבּוּ טַבְּלֶה | לא צוין | לא צוין | עברית+ערבית | פעיל | אזורי | “אבו טבלה וחברים”, מופע קומי־מוזיקלי; זאפה ולוחות מכירה ארציים | אתר רשמי; itaymeiroffice@gmail.com; 050-469-9459 | פרסונת במה קומית־מוזיקלית שמציגה חיבור בין הומור, מוזיקה וזהות מזרח־תיכונית, עם דף קשר רשמי פעיל.]

אבי גרייניק (Avi Grainik) — [אבי גרייניק | לא צוין | לא צוין | עברית | לא צוין | נישתי | לא צוין | לא אותר בוקינג עצמאי עדכני | מזוהה כסטנדאפיסט/קומיקאי ישראלי באינדקסי סטנדאפ עבריים; במקורות שנסקרו לא נמצאה שכבת בוקינג עדכנית ועשירה.]

אבי נוסבאום (Avi Nussbaum) — [אבי נוסבאום | לא צוין | לא צוין | עברית | לא צוין | אזורי | מופעי סטנדאפ; זוהה גם באינדקסים ארציים | לוחי כרטיסים/אינדקסים ציבוריים | מהשמות הוותיקים והמוכרים בזירת הסטנדאפ הישראלית, אם כי בחיפוש הנוכחי לא עלה דף רשמי עשיר בפרטים ביוגרפיים.]

אדיר מילר (Adir Miller) — [אדיר מילר | לא צוין במקורות שנאספו כאן | לא צוין | עברית | פעיל | ארצי־בולט | מופעי סטנדאפ ואילתורים; “רמזור”; “צומת מילר” | דפי אמן וכרטיסים ב‑Comy/Tickchak/Mevalim | שם־על של הסטנדאפ הישראלי, עם לוח הופעות צפוף והגדרה מפורשת כאחד המבוקשים בישראל.]

אדם שרון (Adam Sharon) — [אדם שרון | לא צוין | לא צוין | עברית | פעיל | צומח | מופיע במרתוני קומדי בר וליינאפים פרטיים | דף אמן/בוקינג דרך קומדי בר | מזוהה כאחד האמנים הפעילים בסבב מרתוני הבית של קומדי בר ובהופעות לאירועים.]

אודי גוטשלק (Udi Gotshalk), אופיר סגרסקי (Ofir Segarsky), אופירה רחמים (Ofira Rahamim), אורי מלמד (Uri Melamed), איתי פינקי (Itay Pinki), איתי שגב (Itay Segev), אלינור סלע (Eleanor Sela) — [שם במה: לא צוין | לידה/גיל: לא צוין | עיר: לא צוין | שפה: עברית משוערת | סטטוס: לא צוין | מוכרות: לא ידוע/נישתי | עבודות/במות: לא צוין | קשר: לא אותר | ביו: שמות שמופיעים בקטגוריית “סטנדאפיסטים ישראלים” או ברוסטרים ישראליים, אך לא אותרה עבורם שכבת מידע ציבורית עדכנית מספקת.]
